Feature,Importance
Fraud_Rule_4,0.1819242139782493
Fraud_Rule_36,0.14104729031555652
Fraud_Rule_15,0.07252977308884008
Fraud_Rule_31,0.06975260434546969
Fraud_Rule_30,0.05665932420977447
DAYS_LOST,0.0490675304452567
Fraud_Rule_23,0.039323862907749536
CLM_AMT,0.036974488984563215
Fraud_Rule_9,0.027182898859437782
Fraud_Rule_22,0.02505491359834082
Fraud_Rule_12,0.01882556839484971
Fraud_Rule_5,0.01879105349643588
CLM_DTL_ID,0.018246114227833333
PLCY_PREMIUM_AMT,0.013875241594706609
INJURY_SEVERITY,0.012381843418459866
Claim_Limit_90,0.009743737334020649
Days_From_Policy_Start,0.009043151228669843
Days_To_Policy_End,0.008871970033291477
RISK_LEVEL,0.00842832595003057
PLCY_CLAIM_LIMIT,0.008420506990057612
Fraud_Rule_13,0.0062915235844233286
CLMT_AVG_WKLY_WAGE,0.006242875592834913
CUST_ID_CLAIMANT,0.005773030708379731
CLAIMANT_CUST_DOB,0.005752896502581631
CLM_OCCR_ADDR,0.005706824220401161
INSURED_CUST_ADDR,0.005638404387865875
CLAIMANT_CUST_LST_NM,0.005626589285279681
PLCY_NO,0.005624773259724426
CLMT_HIRE_DT,0.005594896828372104
HAS_SEVERE_INJURY,0.0055495307623367905
CUST_ID_MED_PROV,0.005434691223291237
CUST_ID_INSURED,0.00543368635966482
CLAIMANT_CUST_TAX_ID,0.005419018202038784
CLM_OCCR_CITY,0.005406451595729203
CLAIMANT_CUST_FRST_NM,0.005385721039136971
INSURED_CUST_FRST_NM,0.005094689984004628
INJURY_TYPE,0.004750319058540295
Fraud_Rule_17,0.00440246984823971
CLMT_DISAB_BGN_DT,0.004273908947454586
INJURY_BODY_PART,0.004226345962246978
CLM_NO,0.00412511996078425
CLM_STS_DT,0.004083927142788471
MEDPROV_CUST_FRST_NM,0.004073270865332922
Fraud_Rule_35,0.0040214351156792035
Fraud_Rule_2,0.003947891881434368
CLM_OCCR_DT,0.003921166352575797
PLCY_END_DT,0.003909613985100592
CLM_RPT_DT,0.003813867548736872
PLCY_STRT_DT,0.0037549016311126367
CLAIMANT_CUST_DOD,0.003325531407737182
Fraud_Rule_7,0.0033129194651574743
Fraud_Rule_8,0.003263646253891098
CLAIMANT_CUST_STATE,0.0031254176605945883
CLM_OCCR_STATE,0.0030180804960801377
MEDPROV_CUST_STATE,0.0029979268426156623
TREATMENT_REQUIRED,0.0029494600173879315
BUSINESS_TYPE,0.0027764527813845404
INSURED_CUST_STATE,0.002701002395005232
EMPLOYMENT_STATUS,0.0010700922858660241
CLMT_JOB_TYP,0.0006952006473952253
CLM_STS_CD,0.0006611344260629976
PLCY_PAYMENT_STATUS,0.0003783180228059032
Fraud_Rule_19,0.00029747324361393906
Fraud_Rule_10,3.088816716335929e-06
